Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
220476600,Laurie,Stephen  King,"King, Stephen",,"=""""","=""""",0,3.64,SPERLING & KUPFER,Kindle Edition,42,2018,2018,2024/01/01,2025/07/24,,,read,,,,1,0
15823480,Anna Karenina,Leo Tolstoy,"Tolstoy, Leo","Aylmer Maude, Louise Maude, Dieter Wellershoff, Bruno Goetz, Lev Tolstoj, Léon Tolstoï","=""0345803922""","=""9780345803924""",0,4.10,Vintage,Paperback,964,2012,1878,,2020/09/29,"i-have-it, to-read","i-have-it (#1), to-read (#785)",to-read,,,,1,0
15054,Written on the Body,Jeanette Winterson,"Winterson, Jeanette",,"=""0679744479""","=""9780679744474""",0,4.08,Vintage International,Paperback,190,1994,1992,,2020/01/24,currently-reading,currently-reading (#7),currently-reading,,,,1,0
61242426,"Legends & Lattes (Legends & Lattes, #1)",Travis Baldree,"Baldree, Travis",,"=""""","=""""",0,4.04,Tor,Kindle Edition,296,2022,2022,,2025/03/18,currently-reading,currently-reading (#6),currently-reading,,,,1,0
60728291,Practical Electronics For Inventors,James Isbell,"Isbell, James",,"=""""","=""9798492357191""",0,4.87,Independently published,Paperback,47,2021,,,2025/11/19,to-read,to-read (#784),to-read,,,,0,0
58700918,Terry Pratchett: A Life With Footnotes: The Official Biography,Rob  Wilkins,"Wilkins, Rob",,"=""0857526634""","=""9780857526632""",0,4.66,Doubleday,Hardcover,435,2022,2022,,2025/11/01,to-read,to-read (#783),to-read,,,,0,0
194755,Esio Trot,Roald Dahl,"Dahl, Roald",Quentin Blake,"=""0224064924""","=""9780224064927""",4,3.73,Jonathan Cape Children's Books,Paperback,80,2003,1990,2025/11/01,2025/10/30,,,read,,,,1,0
40897646,The Cat from Hell,Stephen  King,"King, Stephen",,"=""""","=""""",0,3.69,,ebook,20,,2014,2025/10/29,2025/10/28,,,read,Burp,,,1,0
15686,The Outsider,Albert Camus,"Camus, Albert",Joseph Laredo,"=""0141182504""","=""9780141182506""",0,4.03,Penguin Group,Paperback,119,2006,1942,,2025/04/13,,,read,"It's like swimming in maple syrup, at least the last 8 pages.",,,2,0
17184,The Invisible Man,H.G. Wells,"Wells, H.G.",Scott Westerfeld,"=""0451528522""","=""9780451528520""",4,3.63,New American Library/Penguin Books,Mass Market Paperback,192,2002,1897,2025/10/22,2025/10/11,,,read,,,,1,0
25684046,Le notti bianche / La cronaca di Pietroburgo,Fyodor Dostoevsky,"Dostoevsky, Fyodor","Fëdor Dostoevskij, Serena Prina","=""8807901870""","=""9788807901874""",5,3.97,Feltrinelli,Paperback,176,2015,,2025/10/05,2025/10/02,,,read,,,,1,0
58527285,12 Bytes: How We Got Here. Where We Might Go Next,Jeanette Winterson,"Winterson, Jeanette",,"=""0802159257""","=""9780802159250""",0,3.90,Grove Press,Hardcover,324,2021,2021,,2025/09/27,currently-reading,currently-reading (#5),currently-reading,,,,1,0
144519352,Aspergirls,Rudy Simone,"Simone, Rudy",,"=""""","=""""",0,3.76,JessicaKingsleyPublishers,Paperback,0,2011,2010,2024/11/01,2024/01/01,,,read,,,,1,0
54558891,The Wicked Bargain,Gabe Cole Novoa,"Novoa, Gabe Cole",,"=""""","=""""",0,4.16,Random House,Unknown Binding,368,2023,2023,,2025/08/28,to-read,to-read (#782),to-read,,,,0,0
235573387,Rational Creatures,Gabe Cole Novoa,"Novoa, Gabe Cole",,"=""""","=""""",0,0.0,Sourcebooks Casablanca,Unknown Binding,,2026,,,2025/08/28,to-read,to-read (#781),to-read,,,,0,0
3324528,Il Signore degli Anelli,J.R.R. Tolkien,"Tolkien, J.R.R.","Vittoria Alliata, Elémire Zolla, Quirino Principe","=""8845290050""","=""9788845290053""",0,4.54,Bompiani,Paperback,1366,2000,1959,,2021/08/09,to-read,to-read (#780),to-read,,,,1,0
9702888,Il treno,Georges Simenon,"Simenon, Georges",Massimo Romano,"=""884592243X""","=""9788845922435""",0,3.83,Adelphi,Paperback,146,2008,1961,,2025/07/25,to-read,to-read (#779),to-read,,,,1,0
65916344,"Holly (Holly Gibney, #3)",Stephen  King,"King, Stephen",,"=""1668016133""","=""9781668016138""",4,4.07,Scribner,Hardcover,449,2023,2023,2025/08/15,2023/10/28,,,read,,,,1,0
9669160,Luci nella notte,Georges Simenon,"Simenon, Georges",Marco Bevilacqua,"=""8845919498""","=""9788845919497""",5,3.80,Adelphi,Paperback,166,2005,1953,2025/07/25,2025/07/19,,,read,,,,1,0
12021,The Crow Road,Iain Banks,"Banks, Iain",,"=""""","=""""",0,4.09,Abacus,Paperback,501,1993,1992,,2025/07/24,to-read,to-read (#778),to-read,,,,0,0
1112979,"Girls Who Bite Back: Witches, Mutants, Slayers and Freaks",Emily Pohl-Weary,"Pohl-Weary, Emily","Nalo Hopkinson, Larissa Lai, Shary Boyle, Nikki Stafford, Mariko Tamaki, Sonja Ahlers, Sherwin Tjia","=""1894549333""","=""9781894549332""",0,3.52,Sumach Press,Paperback,360,2004,2004,,2025/07/19,to-read,to-read (#777),to-read,,,,0,0
44533,Hood,Emma Donoghue,"Donoghue, Emma",,"=""1555834531""","=""9781555834531""",0,3.65,Alyson Books,Paperback,320,1998,1995,,2025/07/19,to-read,to-read (#776),to-read,,,,0,0
133288829,The Butcher Boy by Patrick McCabe (1994-08-01),Patrick McCabe,"McCabe, Patrick",,"=""""","=""""",0,3.83,Delta; Reprint edition (1994-08-01),Paperback,0,1800,1992,,2025/07/19,to-read,to-read (#775),to-read,,,,0,0
25746703,Tender,Belinda McKeon,"McKeon, Belinda",,"=""031634432X""","=""9780316344326""",0,3.60,Lee Boudreaux Books,Hardcover,416,2016,2015,,2025/07/19,to-read,to-read (#774),to-read,,,,0,0
33253215,The Heart's Invisible Furies,John Boyne,"Boyne, John",,"=""""","=""""",0,4.51,Hogarth Press,Hardcover,582,2017,2017,,2025/07/19,to-read,to-read (#773),to-read,,,,0,0
58662236,Small Things Like These,Claire Keegan,"Keegan, Claire",,"=""0802158749""","=""9780802158741""",0,4.09,Grove Press,Hardcover,128,2021,2021,,2025/07/19,to-read,to-read (#772),to-read,,,,0,0
15995144,The Spinning Heart,Donal Ryan,"Ryan, Donal",,"=""1781620075""","=""9781781620076""",0,3.94,Transworld Ireland,Hardcover,160,2012,2012,,2025/07/19,to-read,to-read (#771),to-read,,,,0,0
253202,Cal,Bernard MacLaverty,"MacLaverty, Bernard",,"=""0099767112""","=""9780099767114""",0,3.54,Vintage Books,Paperback,154,1998,1983,,2025/07/19,to-read,to-read (#770),to-read,,,,0,0
36047860,Milkman,Anna Burns,"Burns, Anna",,"=""0571338763""","=""9780571338764""",0,3.53,Faber & Faber,Kindle Edition,352,2018,2018,,2025/07/19,to-read,to-read (#769),to-read,,,,0,0
62214474,Escher - Mundos Imposibles,Lorenzo Coltellacci,"Coltellacci, Lorenzo","Andrés Abiuso, Juan Frau","=""8412354176""","=""9788412354171""",5,3.58,Avenauta ,Hardcover,144,2022,,2025/06/07,2025/06/05,,,read,,,,1,0
884288,"Interesting Times (Discworld, #17; Rincewind, #5)",Terry Pratchett,"Pratchett, Terry",,"=""0061056901""","=""9780061056901""",0,4.15,HarperTorch,Mass Market Paperback,368,1998,1994,,2025/06/05,currently-reading,currently-reading (#4),currently-reading,,,,1,0
23569497,Alan Turing: The Enigma [Abridged],Andrew Hodges,"Hodges, Andrew",,"=""1784701254""","=""9781784701253""",0,3.75,Vintage,Paperback,,2014,1983,,2020/07/08,programming_mind,programming_mind (#21),programming_mind,,,,0,0
21818577,Espíritu maligno,Peer Meter,"Meter, Peer",Gerda Raidt,"=""8415724608""","=""9788415724605""",3,3.15,Ediciones La Cúpula,Hardcover,108,2014,2013,2025/03/27,2025/03/27,,,read,,,,1,0
53344030,"Heartstopper: Volume Five (Heartstopper, #5)",Alice Oseman,"Oseman, Alice",,"=""1444957651""","=""9781444957655""",0,4.46,Hodder Children's Books,Paperback,336,2023,2023,,2025/03/18,to-read,to-read (#768),to-read,,,,0,0
44427372,Manicomio. Una historia real,Montse Batalla,"Batalla, Montse",Xevidom,"=""8417442294""","=""9788417442293""",4,3.58,Ediciones La Cúpula,Paperback,168,2019,,2025/03/13,2025/02/17,,,read,,,,1,0
123908919,Don't Spit in the Wind #1,Stefano Cardoselli,"Cardoselli, Stefano",,"=""1495634620""","=""9781495634628""",4,3.31,Mad Cave Studios,Kindle Edition,0,2023,,2025/03/08,2025/03/08,,,read,,,,1,0
59688323,La Bibliomule de Cordoue,Wilfrid Lupano,"Lupano, Wilfrid","Léonard Chemineau, Christophe Bouchard, Pascal Buresi","=""2505078645""","=""9782505078647""",5,4.35,Dargaud,Hardcover,257,2021,2021,2025/02/27,2025/02/21,,,read,,,,1,0
23463307,Adaptación,Josep Busquet,"Busquet, Josep",Tomeu Pinya,"=""8415944055""","=""9788415944058""",4,3.22,De Ponent,Paperback,88,2013,2013,2025/02/20,2025/02/19,,,read,,,,1,0
43465467,Seven Places Without You,Juan Berrio,"Berrio, Juan",Fiona Marshall,"=""""","=""9791032807460""",3,2.93,Europe Comics,Kindle Edition,120,2019,2018,2025/02/17,2025/02/16,,,read,Pero que coño acabo de leer?,,,1,0
59808984,Piel de hombre,Zanzim,"Zanzim, Zanzim","Hubert, Eva Reyes de Uña","=""8467948558""","=""9788467948554""",4,4.30,"NORMA EDITORIAL, S.A.",Hardcover,160,2021,2020,2025/02/16,2025/02/15,,,read,,,,1,0
52535437,Antiracist Baby,Ibram X. Kendi,"Kendi, Ibram X.",Ashley Lukashevsky,"=""0593110412""","=""9780593110416""",0,4.05,Kokila,Board Book,24,2020,2020,,2024/07/09,"to-read, let-s-read-banned-books","to-read (#526), let-s-read-banned-books (#25)",to-read,,,,0,0
